name;id;image;searched on twitter;twitter image;twitter;Column1;_1;Bestätigt
Nurten Yilmaz;Q1679312;http://commons.wikimedia.org/wiki/Special:FilePath/Nurten%20Yilmaz%20%2814410777289%29.jpg;WAHR;https://pbs.twimg.com/profile_images/1252499389949652992/Yy-M4Maf_normal.jpg;FCNurtenYilmaz;Nationalratsabgeordnete und Integrationssprecherin der SPÖ;;WAHR
Fiona Fiedler;Q72071743;http://commons.wikimedia.org/wiki/Special:FilePath/Fiona%20Fiedler.jpg;WAHR;https://pbs.twimg.com/profile_images/1369677890938355713/M2POsU3C_normal.jpg;FionaFiedler;Abgeordnete zum Nationalrat @neos_eu, ?? Sprecherin für Menschen mit Behinderungen, Gesundheit und Pflege ??????????? Stolze Mutter von zwei Söhnen;;WAHR
Franz Eßl;Q1435943;;WAHR;https://pbs.twimg.com/profile_images/942712708394377217/3QYMGHHO_normal.jpg;FranzEssl1;Ecologist. Science, Society & Politics. And sometimes more;;WAHR
Julia Herr;Q19287207;http://commons.wikimedia.org/wiki/Special:FilePath/Julia%20Herr%20at%20SP%C3%96%20Bundesparteitag%202014%20%2815904788075%29.jpg;WAHR;;frauherr;;;WAHR
Friedrich Ofenauer;Q15526234;http://commons.wikimedia.org/wiki/Special:FilePath/Friedrich%20Ofenauer01.jpg;WAHR;https://pbs.twimg.com/profile_images/378800000251592156/adf860c2a4ddff0d21e07ff1bf5ed5ae_normal.jpeg;fritzof;;;WAHR
Gabriel Obernosterer;Q1489513;;WAHR;https://pbs.twimg.com/profile_images/1602441937293828098/NKbApcp8_normal.png;G_Obernosterer;;;WAHR
Gerhard Deimek;Q1511470;http://commons.wikimedia.org/wiki/Special:FilePath/Gerhard%20Deimek.jpg;WAHR;https://pbs.twimg.com/profile_images/1428721425293189123/-wg4-vJW_normal.jpg;GerhardDeimek;Abg. z. NR, Sprecher f Technologie, Digitalisierung;;WAHR
Gertraud Salzmann;Q47004998;http://commons.wikimedia.org/wiki/Special:FilePath/CR-%20%C3%96VP-Klimpt.jpg;WAHR;https://pbs.twimg.com/profile_images/1097728302498877440/-S2kkywH_normal.jpg;GeSalzmann;Abgeordnete zum Nationalrat | Pädagogin & Juristin | Salzburg | Bildung, Wissenschaft, Tourismus;;WAHR
Gudrun Kugler;Q87353;http://commons.wikimedia.org/wiki/Special:FilePath/2016-06-16%20GudrunKugler%20MG%208305.jpg http://commons.wikimedia.org/wiki/Special:FilePath/2016-06-16%20GudrunKugler%20MG%209322.jpg;WAHR;https://pbs.twimg.com/profile_images/459805764802994176/yCij8UWu_normal.jpeg;GudrunKugler;NAbg., VP-Klub-Menschenrechtssprecherin, Juristin und Mutter von 4 Kindern;;WAHR
Hannes Amesbauer;Q15819226;http://commons.wikimedia.org/wiki/Special:FilePath/16-07-05-Hannes%20Amesbauer-KG%205985.JPG http://commons.wikimedia.org/wiki/Special:FilePath/16-07-05-Hannes%20Amesbauer-KG%205989.JPG;WAHR;https://pbs.twimg.com/profile_images/1587540164133507072/JXcAZHyX_normal.jpg;HAmesbauer;Abgeordneter zum Nationalrat I Freiheitlicher I Sicherheitssprecher I Klubobmann-Stellvertreter I Steirer;;WAHR
Johannes Margreiter;Q69352200;;WAHR;https://pbs.twimg.com/profile_images/1413091936760647681/G8FmC8oe_normal.jpg;HannesM;Lawyer in Tyrol (Austria), Member of the Austrian Parliament;;WAHR
Herbert Kickl;Q1395041;http://commons.wikimedia.org/wiki/Special:FilePath/Herbert%20Kickl%20-%20FP%C3%96-Neujahrstreffen%202019.JPG;WAHR;https://pbs.twimg.com/profile_images/1592436979622371331/wUQuWJBe_400x400.jpg;HerbertKicklNR;;;WAHR
Hans Stefan Hintner;Q1582619;http://commons.wikimedia.org/wiki/Special:FilePath/Hintner%20Hans%20Stefan%2023-05-13%20KG%2005.JPG;WAHR;;Hhintner;;;WAHR
Franz Hörl;Q1275622;http://commons.wikimedia.org/wiki/Special:FilePath/Sankt%20Gallenkirch-Valiserabahn-Franz%20H%C3%B6rl-03ASD.jpg;WAHR;https://pbs.twimg.com/profile_images/739473572729618432/umz4YMGv_normal.jpg;hoerlfranz;Abgeordneter zum Nationalrat, Landesobmann des Tiroler Wirtschaftsbundes und Obmannm des Fachverbandes der Seilbahnen in der Wirtschaftskammer Österreich;;WAHR
Andrea Holzner;Q61282392;;WAHR;https://pbs.twimg.com/profile_images/1439997679442956293/ghEnEyyN_normal.jpg;HolznerAndrea;;;WAHR
Johanna Jachs;Q42305634;;WAHR;https://pbs.twimg.com/profile_images/1351261537344892928/jhoevmCU_normal.jpg;JachsJ;Nationalratsabgeordnete @oeparl  @: johanna.jachs@parlament.gv.at;;WAHR
Jakob Schwarz;Q69299892;http://commons.wikimedia.org/wiki/Special:FilePath/2022%20Jakob%20Schwarz%20%2852215444718%29%20%28cropped%29%20%28cropped%29.jpg;WAHR;https://pbs.twimg.com/profile_images/1589546002054356992/0HDhlet5_normal.jpg;JakobCSchwarz;Klimaphysiker im Parlament;;WAHR
Josef Muchitsch;Q1705321;http://commons.wikimedia.org/wiki/Special:FilePath/Josef%20Muchitsch%20%2814499707021%29.jpg;WAHR;https://pbs.twimg.com/profile_images/1162256635181408256/YuXPLBMd_normal.jpg;JosefMuchitsch;SPÖ-Sozialsprecher / Bundesvorsitzender Gewerkschaft Bau-Holz / Region Süd-West-Steiermark;;WAHR
Klaus Fürlinger;Q1745104;http://commons.wikimedia.org/wiki/Special:FilePath/20170316%20Klaus%20Fuerlinger%20M77%201.jpg;WAHR;https://pbs.twimg.com/profile_images/1275473872175890441/x2u9CUSa_normal.jpg;klausfuerlinger;Rechtsanwalt und Abgeordneter zum Nationalrat;;WAHR
Klaus Köchl;Q1745373;;WAHR;https://pbs.twimg.com/profile_images/631025976462323712/DxKAELY5_normal.jpg;klauskoechl;;;WAHR
Martina Künsberg Sarre;Q72076016;;WAHR;https://pbs.twimg.com/profile_images/1387742240009764869/ZZ3IYTHz_normal.jpg;kuensberg;Abgeordnete zum Nationalrat, NEOS, Bildungs- und Wissenschaftssprecherin;;WAHR
Klaus Lindinger;Q42855020;;WAHR;;LexnKlaus;;;WAHR
Lukas Hammer;Q64851724;;WAHR;https://pbs.twimg.com/profile_images/1188384683085750273/14zpyWKD_normal.jpg;lukas_hammer;Abgeordneter zum Nationalrat | Sprecher für Klimaschutz, Energiepolitik und Aktive Mobilität für @diegruenen | Born at 343 ppm;;WAHR
Mario Lindner;Q20753028;http://commons.wikimedia.org/wiki/Special:FilePath/2015%20Mario%20Lindner%20%2821805038210%29.jpg;WAHR;https://pbs.twimg.com/profile_images/1560687465677041669/u8SYGl6h_normal.jpg;MarioLindner82;Abgeordneter zum Nationalrat @spoe_at • Gewerkschafter • Sanitäter • Europäer • Vorsitzender der @soho_or_at • Ein Teil des Regenbogens ??????;;WAHR
Martina Kaufmann;Q42535294;;WAHR;https://pbs.twimg.com/profile_images/573913257372684288/JqslDN_L_normal.jpeg;martinakaufmann;Grazer Abgeordnete zum Nationalrat;;WAHR
Martin Engelberg;Q42307913;http://commons.wikimedia.org/wiki/Special:FilePath/2015%20Martin%20Engelberg%20%2817616299116%29.jpg;WAHR;https://pbs.twimg.com/profile_images/1374771545604784131/KTG-XtO2_normal.jpg;MartinEngelberg;Member of Austrian Parliament, Psychoanalyst, Consultant, Coach;;WAHR
Maximilian Köllner;Q69385915;;WAHR;https://pbs.twimg.com/profile_images/1417414519366864913/zCaD2TLf_normal.jpg;maxkoellner;?? Abgeordneter zum Nationalrat | ?? Sprecher der @SPOE_at für Sport | ??Bürgermeister von Illmitz | ???? Burgenländer;;WAHR
Max Lercher;Q1733882;http://commons.wikimedia.org/wiki/Special:FilePath/20160706-Max%20Lercher-IS-8147.jpg http://commons.wikimedia.org/wiki/Special:FilePath/2017%20Max%20Lercher%20%2838322351255%29.jpg;WAHR;https://pbs.twimg.com/profile_images/1199251570673799168/-pgsl8Jn_normal.jpg;MaxLercher;Abgeordneter zum Nationalrat | SPÖ | Bereichssprecher für Regionalpolitik | Regionalparteivorsitzender Obersteiermark West;;WAHR
Michael Bernhard;Q15602114;http://commons.wikimedia.org/wiki/Special:FilePath/Pock.jpg;WAHR;https://pbs.twimg.com/profile_images/1586397765369823236/aqV276UB_normal.jpg;michi_bernhard;Unternehmer | Abgeordneter @neos_eu | Bundessprecher @unos_eu;;WAHR
Andreas Minnich;Q72072935;http://commons.wikimedia.org/wiki/Special:FilePath/Gwynne%20%28MP%2C%20United%20Kingdom%29%20and%20Minnich%20%28MP%2C%20Austria%29%20observing%20elections%20in%20Missouri%2C%20Election%20Day%2C%208%20November%202022%20%2852489343200%29%20%28cropped%29.jpg;WAHR;https://pbs.twimg.com/profile_images/1379381232979615746/hSk2Y0dE_normal.jpg;MinnichAndreas;;;WAHR
Michael Schnedlitz;Q51000135;http://commons.wikimedia.org/wiki/Special:FilePath/Schnedlitz.jpg;WAHR;https://pbs.twimg.com/profile_images/903271573163057152/kxNKctzm_normal.jpg;MSchnedlitz;#Vater #Sohn Wohn- & Sozialstadtrat BürgermeisterStv AbgzNationalrat Generalsekretär FPÖ #WienerNeustadt #FP #Privat #Politik #Austria;;WAHR
Nico Marchetti;Q42308049;http://commons.wikimedia.org/wiki/Special:FilePath/Nico%20Marchetti%202019.jpg;WAHR;;niiico_laus;;;WAHR
Petra Oberrauner;Q72078872;;WAHR;https://pbs.twimg.com/profile_images/1217727953284497409/v_Yc3QqW_normal.jpg;OberraunerPetra;Abgeordnete zum Nationalrat, SPÖ-Sprecherin für Digitalisierung;;WAHR
Olga Voglauer;Q72073444;http://commons.wikimedia.org/wiki/Special:FilePath/2022%20Olga%20Voglauer%20%2852359475219%29%20%28cropped%29.jpg;WAHR;https://pbs.twimg.com/profile_images/1147548681031364608/EYolw-Hr_normal.jpg;OVoglauer;;;WAHR
Sepp Schellhorn;Q17352992;http://commons.wikimedia.org/wiki/Special:FilePath/Sepp%20Schellhorn%202016.jpg;WAHR;https://pbs.twimg.com/profile_images/743404413226786816/FUa4U7i0_normal.jpg;pepssch;grantiger Unternehmer, kultivierter Gastgeber;;WAHR
Peter Weidinger;Q42941654;;WAHR;https://pbs.twimg.com/profile_images/378800000669945774/1b77235a193ecf5a9a15f3d382d040b3_normal.png;PeterWeidinger;Abgeordneter zum Nationalrat. Weltbürger. Stadtrat. Vater. Stadtparteiobmann der ÖVP Villach. VSV-Fan.;;WAHR
Petra Vorderwinkler;Q72073084;http://commons.wikimedia.org/wiki/Special:FilePath/2022%20Petra%20Vorderwinkler%20%2852096252685%29%20%28cropped%29%20%28cropped%29.jpg;WAHR;https://pbs.twimg.com/profile_images/1354067525261209601/XPwicV9p_normal.jpg;PetraTanzler;Nationalratsabgeordnete und Bildungssprecherin der SPÖ – Ich setze mich für eine lebenswerte und sichere Zukunft ein in der niemand vergessen wird!;;WAHR
Philip Kucher;Q15840387;http://commons.wikimedia.org/wiki/Special:FilePath/Philip%20Kucher%20%2814479996346%29.jpg;WAHR;https://pbs.twimg.com/profile_images/1498381987169636353/cufn5N6t_normal.jpg;philipkucher;Kärntner NRAbg. & Gesundheitssprecher der SPÖ;;WAHR
Philippa Strache;Q42016569;http://commons.wikimedia.org/wiki/Special:FilePath/Philippa%20Strache%20-%20FP%C3%96-Neujahrstreffen%202019.JPG;WAHR;;PStrache;;;WAHR
Reinhold Lopatka;Q1507084;http://commons.wikimedia.org/wiki/Special:FilePath/Reinhold%20Lopatka%20Wien2008.jpg;WAHR;https://pbs.twimg.com/profile_images/1194680962132656129/_sLiqpJn_normal.jpg;ReinholdLopatka;Außen - u Europasprecher der ÖVP, steir. Abgeordneter;;WAHR
Pamela Rendi-Wagner;Q28912455;http://commons.wikimedia.org/wiki/Special:FilePath/2019%20Pamela%20Rendi-Wagner%20%2832995117698%29%20%28cropped%29.jpg;WAHR;https://pbs.twimg.com/profile_images/1472635838894911498/IHiNeFqz_normal.jpg;rendiwagner;SPÖ-Bundesparteivorsitzende / SPÖ-Klubobfrau / Persönliche Tweets sind mit (prw) gekennzeichnet;;WAHR
Christian Ries;Q46357211;;WAHR;https://pbs.twimg.com/profile_images/1606300717186269185/Ol4QKO4l_normal.jpg;ries_riesi;;;WAHR
Rebecca Kirchbaumer;Q43143110;;WAHR;https://pbs.twimg.com/profile_images/957983688209334273/0uKYbIZM_normal.jpg;RKirchbaumer;;;WAHR
Robert Laimer;Q42857692;;WAHR;https://pbs.twimg.com/profile_images/1356199948564443138/olkC3eOr_normal.jpg;RobertLaimer;Abgeordneter zum Nationalrat;;WAHR
Rosa Ecker;Q21336878;http://commons.wikimedia.org/wiki/Special:FilePath/Ecker%20Rosa%2016-03-17-KG48.JPG;WAHR;;RosaEcker2;;;WAHR
Rudolf Silvan;Q71004072;http://commons.wikimedia.org/wiki/Special:FilePath/Foto%20von%20Rudolf%20Silvan.jpg;WAHR;https://pbs.twimg.com/profile_images/1402361407211986944/zz-8cmRk_normal.jpg;Rudolf_Silvan;Landesgeschäftsführer der Gewerkschaft Bau-Holz (GBH) Niederösterreich und Abgeordneter zum Nationalrat (SPÖ);;WAHR
Sabine Schatz;Q42853141;http://commons.wikimedia.org/wiki/Special:FilePath/2018%20Sabine%20Schatz%20%2838860818640%29%20%28cropped%29.jpg;WAHR;https://pbs.twimg.com/profile_images/1528283053713399808/u9LiyNcy_normal.jpg;SabineSchatz;Abgeordnete zum Nationalrat. SPÖ. Sprecherin für Erinnerungskultur. Mühlviertel. Sozialdemokratin. Feministin. Knipserin.;;WAHR
Joachim Schnabel;Q72079690;;WAHR;https://pbs.twimg.com/profile_images/1120626431984324608/nyIWZLdw_normal.jpg;schnabeljoachim;Tischlermeister, Bürgermeister, Abgeordneter zum österreichischen Nationalrat, Bezirksparteiobmann der ÖVP Leibnitz, Familie und manchmal noch Sportler...;;WAHR
Sibylle Hamann;Q1751948;http://commons.wikimedia.org/wiki/Special:FilePath/Sibylle%20Hamann%20-%20Buchmesse%20Wien%202019.JPG;WAHR;https://pbs.twimg.com/profile_images/378800000256322826/0b0705dcefa3304ca483e53334c0dc5b_normal.jpeg;sibyllehamann;grad noch journalistin, plötzlich grüne politikerin;;WAHR
Wolfgang Sobotka;Q2591433;http://commons.wikimedia.org/wiki/Special:FilePath/Wolfgang%20Sobotka%20BHO-0079.jpg;WAHR;https://pbs.twimg.com/profile_images/1592231938374483968/vxjrw7BF_normal.jpg;Sobotka_Wolf;;;WAHR
Christoph Stark;Q42306691;;WAHR;https://pbs.twimg.com/profile_images/492929354843041792/6-8n9qXw_normal.jpeg;stark8200;Bürgermeister mit und aus Leidenschaft meiner Heimatstadt Gleisdorf. Und seit 9.11.2018 auch Abgeordneter zum Nationalrat.;;WAHR
Stefan Kaineder;Q21582295;http://commons.wikimedia.org/wiki/Special:FilePath/Kaineder%20Stefan.jpg;WAHR;https://pbs.twimg.com/profile_images/1442821997705191424/zB-msk6I_normal.jpg;StefanKaineder;Landesrat, Grüner Landessprecher in OÖ, Stv. Bundessprecher;;WAHR
David Stögmüller;Q23060567;http://commons.wikimedia.org/wiki/Special:FilePath/David%20St%C3%B6gm%C3%BCller.jpg;WAHR;https://pbs.twimg.com/profile_images/1261972552886468609/aHjeyr5K_normal.jpg;Stoegmueller;Nationalrat (MP) | die Grünen | #gegenrechts #OevpUA #IbizaUA ???? #Wirecard #Rechnungshof #Sicherheit #Landesverteidigung #OSCE #politik_en_général;;WAHR
Süleyman Zorba;Q72311413;;WAHR;https://pbs.twimg.com/profile_images/836587656125562880/NDghVVAV_normal.jpg;SuelZorba;abgeordneter zum nationalrat /sprecher für digitalisierung&netzpolitik @gruene_austria;;WAHR
Thomas Drozda;Q24082654;http://commons.wikimedia.org/wiki/Special:FilePath/2016%20Thomas%20Drozda%20Angelobung%20Minister%20180516-40%20%2826485209414%29%20%28cropped%29.jpg;WAHR;https://pbs.twimg.com/profile_images/787011254275674112/Ojudm3Om_normal.jpg;thomasdrozda;Vorstand der ARWAG Holding;;WAHR
Verena Nussbaum;Q42376270;http://commons.wikimedia.org/wiki/Special:FilePath/Verena%20Nussbaum%202.jpg;WAHR;https://pbs.twimg.com/profile_images/935517877934936064/3y2jWA-x_normal.jpg;VerenaNussbaum;Abgeordnete zum NR SPÖ, Gewerkschafterin, RT ist nicht Zustimmung;;WAHR
Wolfgang Gerstl;Q2589687;;WAHR;https://pbs.twimg.com/profile_images/1549801987822309381/7ZCBG7c3_normal.jpg;wolfganggerstl;Nationalratsabgeordneter, Verfassungssprecher der ÖVP, Obmann der ÖVP Penzing - und glücklicher Familienvater;;WAHR
Selma Yildirim;Q42303254;http://commons.wikimedia.org/wiki/Special:FilePath/2017%20Selma%20Yildirim%20%2836893480372%29.jpg;WAHR;;yldrm_selma;;;WAHR
Alexandra Tanda;Q81616242;;WAHR;;;;;WAHR
Alois Kainz;Q46974794;http://commons.wikimedia.org/wiki/Special:FilePath/2019%20Alois%20Kainz%20%28cropped%29.jpg;WAHR;;;;;WAHR
Andreas Kühberger;Q42856558;;WAHR;;;;;WAHR
Angela Baumgartner;Q42328389;;WAHR;;;;;WAHR
Astrid Rössler;Q750777;http://commons.wikimedia.org/wiki/Special:FilePath/Astrid%20R%C3%B6ssler.jpg;WAHR;;;;;WAHR
Bettina Zopf;Q72311418;;WAHR;;;;;WAHR
Christian Lausch;Q1080771;;WAHR;;;;;WAHR
Christian Stocker;Q64576653;;WAHR;;;;;WAHR
Dietmar Keck;Q1223441;http://commons.wikimedia.org/wiki/Special:FilePath/Dietmar%20Keck%20%2814501776074%29.jpg;WAHR;;;;;WAHR
Doris Bures;Q85433;http://commons.wikimedia.org/wiki/Special:FilePath/Doris%20Bures%20Stadthalle-Wien-08.2008.jpg http://commons.wikimedia.org/wiki/Special:FilePath/GuentherZ%202012-07-04%200047%20Wien03%20Strandbar%20Hermann%20Danube-Day%20Doris%20Bures.jpg;WAHR;;;;;WAHR
Elisabeth Feichtinger;Q42294922;http://commons.wikimedia.org/wiki/Special:FilePath/2018%20Elisabeth%20Feichtinger%20%2840379701735%29%20%28cropped%29.jpg;WAHR;;;;;WAHR
Erwin Angerer;Q17352678;;WAHR;;;;;WAHR
Gaby Schwarz;Q36808597;;WAHR;;;;;WAHR
Georg Strasser;Q15811789;http://commons.wikimedia.org/wiki/Special:FilePath/16%20Portrait%20Georg%20Strasser%20%28Bauernbund%29.jpg;WAHR;;;;;WAHR
Gerald Hauser;Q1509909;;WAHR;;;;;WAHR
Harald Stefan;Q1584758;http://commons.wikimedia.org/wiki/Special:FilePath/Harald%20Stefan.jpg;WAHR;;;;;WAHR
Harald Troch;Q1584792;http://commons.wikimedia.org/wiki/Special:FilePath/Dr.%20Harald%20Troch%20%2814316493838%29.jpg;WAHR;;;;;WAHR
Heike Grebien;Q81616173;;WAHR;;;;;WAHR
Hubert Fuchs;Q15507892;http://commons.wikimedia.org/wiki/Special:FilePath/2017%20Staatssekret%C3%A4r%20Hubert%20Fuchs%20%2839136614571%29%20%28cropped%29.jpg;WAHR;;;;;WAHR
Johann Höfinger;Q1694654;;WAHR;;;;;WAHR
Johann Singer;Q1696251;;WAHR;;;;;WAHR
Johann Weber;Q52061561;;WAHR;;;;;WAHR
Josef Hechenberger;Q69457951;;WAHR;;;;;WAHR
Josef Smolle;Q37649611;;WAHR;;;;;WAHR
Karin Greiner;Q15822812;http://commons.wikimedia.org/wiki/Special:FilePath/Mag.%20Karin%20Greiner%20%2814501779924%29.jpg;WAHR;;;;;WAHR
Katharina Werner;Q109601540;;WAHR;;;;;WAHR
Manfred Hofinger;Q15616494;;WAHR;;;;;WAHR
Maria Großbauer;Q28851897;http://commons.wikimedia.org/wiki/Special:FilePath/2019%20Maria%20Gro%C3%9Fbauer%20%28cropped%29.jpg;WAHR;;;;;WAHR
Markus Vogl;Q15834098;http://commons.wikimedia.org/wiki/Special:FilePath/Markus%20Vogl%20%2814501765924%29.jpg;WAHR;;;;;WAHR
Martin Graf;Q86691;http://commons.wikimedia.org/wiki/Special:FilePath/Martin%20Graf%20-%20Pressekonferenz%20am%2026.%20Aug.%202020.JPG;WAHR;;;;;WAHR
Michael Hammer;Q1549133;http://commons.wikimedia.org/wiki/Special:FilePath/Michael%20Hammer%20%282016%29.jpg;WAHR;;;;;WAHR
Michael Seemayer;Q72078612;;WAHR;;;;;WAHR
Nikolaus Prinz;Q1991637;http://commons.wikimedia.org/wiki/Special:FilePath/Nikolaus%20Prinz%2001.jpg;WAHR;;;;;WAHR
Norbert Sieber;Q1997216;http://commons.wikimedia.org/wiki/Special:FilePath/Norbert%20Sieber%202016.JPG;WAHR;;;;;WAHR
Peter Haubner;Q2075504;http://commons.wikimedia.org/wiki/Special:FilePath/Haubner%20014.jpg;WAHR;;;;;WAHR
Peter Schmiedlechner;Q43140569;;WAHR;;;;;WAHR
Peter Wurm;Q2079124;;WAHR;;;;;WAHR
Petra Steger;Q15618404;http://commons.wikimedia.org/wiki/Special:FilePath/Rankweil-Vinomnasaal-EU-Wahl-Diskussion-Petra%20Steger-01ASD.jpg;WAHR;;;;;WAHR
Rainer Wimmer;Q2128476;http://commons.wikimedia.org/wiki/Special:FilePath/Rainer%20Wimmer%20%2814316487469%29.jpg;WAHR;;;;;WAHR
Reinhard Bösch;Q1373001;http://commons.wikimedia.org/wiki/Special:FilePath/2014%20Reinhard%20Eugen%20B%C3%B6sch%20%2815593674748%29.jpg;WAHR;;;;;WAHR
Ruth Becher;Q2177565;http://commons.wikimedia.org/wiki/Special:FilePath/Mag.a.%20Ruth%20Becher%20%2814503112195%29.jpg;WAHR;;;;;WAHR
Susanne Fürst;Q42295912;;WAHR;;;;;WAHR
