name;id;image;searched on twitter;twitter image;twitter;twitter description;Besttätigt
Fie Hækkerup;Q115014515;;WAHR;https://pbs.twimg.com/profile_images/1356910319151566859/1nBZLnuo_normal.jpg;FieHaekkerup;Forbrugerordfører og folketingsmedlem for Socialdemokratiet, valgt i Hillerødkredsen. Formand-emerita i @fritforum.;WAHR
Dennis Flydtkjær;Q12308261;;FALSCH;;flydtkjaer;;WAHR
Franciska Rosenkilde;Q61059727;;WAHR;https://pbs.twimg.com/profile_images/1442789469959118853/JN-Ec_5y_normal.jpg;FranciskaRosenk;Politisk leder i Alternativet. ?? Folketingskandidat i København. ?? For et grønt og progressivt Danmark.;WAHR
Frederik Vad;Q47500025;;FALSCH;;frede_vad;;WAHR
Hans Christian Schmidt;Q1579014;http://commons.wikimedia.org/wiki/Special:FilePath/Carlsberg%20Station%20opening%2005.jpg;FALSCH;;HaChrSchmidt;;WAHR
Hans Kristian Skibby;Q12315455;http://commons.wikimedia.org/wiki/Special:FilePath/Hans-Kristian-Skibby-DF.jpg;FALSCH;;Hans_Kr_Skibby;;WAHR
Hans Andersen;Q12315227;;FALSCH;;HansAndersenV;;WAHR
Helle Bonnesen;Q112627089;http://commons.wikimedia.org/wiki/Special:FilePath/Helle%20bonnesen-e1633890004784-714x1024.jpg;WAHR;https://pbs.twimg.com/profile_images/1522138163505995776/HEwek8Ny_normal.jpg;Helle_Bonnesen;Udenrigsordfører, kultur-og kirkeordfører, beskæftigelsesordfører. Medlem af Foketinget og af Københavns Borgerrepræsentation. Mobil 20406865;WAHR
Henrik Hasling Frandsen;Q30091555;;FALSCH;;henrikfrandsen5;;WAHR
Henrik Møller;Q64441610;;FALSCH;;Henrikm86712011;;WAHR
Magnus Heunicke;Q12325727;http://commons.wikimedia.org/wiki/Special:FilePath/Opening%20of%20Plusway%20-%20Magnus%20Heunicke%2001%20%28cropped%29.JPG;FALSCH;;Heunicke;;WAHR
Helene Liliendahl Brydensholt;Q115014561;;FALSCH;;HLiliendahl;;WAHR
Ida Auken;Q441594;http://commons.wikimedia.org/wiki/Special:FilePath/Ida%20Auken.2022.jpg;FALSCH;;IdaAuken;;WAHR
Jacob Jensen;Q12318858;;FALSCH;;jacobjensenMF;;WAHR
Jacob Mark;Q18647252;http://commons.wikimedia.org/wiki/Special:FilePath/Jacob%20Mark%20p%C3%A5%20ChrBorg%20NOV%202018%20Foto%20William%20Vest-Lillesoe%20WEB-9%20%28cropped%29.jpg;FALSCH;;jacobmark_sf;;WAHR
Jakob Ellemann-Jensen;Q12318947;http://commons.wikimedia.org/wiki/Special:FilePath/20200612%20Altinget%20Jakob%20Elleman%20Jensen%20750A4304-2%20%28cropped%29.jpg;FALSCH;;jakobellemann;;WAHR
Jan E. Jørgensen;Q12319014;;FALSCH;;JanEJoergensen;;WAHR
Jens Joel;Q12319328;http://commons.wikimedia.org/wiki/Special:FilePath/Jens%20Joel%20Nielsen.jpg;FALSCH;;Jens_Joel;;WAHR
Jeppe Bruus;Q12319515;;FALSCH;;JeppeBruus;;WAHR
Jeppe Søe;Q12319533;;WAHR;https://pbs.twimg.com/profile_images/1239177710829809664/V3Nd9LNu_normal.jpg;jeppesoee;Medlem af Folketinget for MODERATERNE og stolt grundtvigianer. Foredragsholder, rådgiver. https://t.co/5vLurK7mul - mobil 54332000;WAHR
Brigitte Klintskov Jerkel;Q29227656;;FALSCH;;JerkelK;;WAHR
Jesper Petersen;Q12319657;;FALSCH;;Jesper_Pet;;WAHR
Jens Meilvang;Q115020560;;WAHR;https://pbs.twimg.com/profile_images/1045217656641597440/fIIq4jmN_normal.jpg;JmMeilvang;Folketingsmedlem - Østjylland Transportordfører;WAHR
Jon Stephensen;Q12320275;;WAHR;https://pbs.twimg.com/profile_images/614808557549187072/TlthxWOM_normal.jpg;jonstephensen;;WAHR
Jens Henrik Thulesen Dahl;Q12319302;http://commons.wikimedia.org/wiki/Special:FilePath/Jens%20Henrik%20Thulesen%20Dahl.jpg;FALSCH;;JThulesen;;WAHR
Mona Juul;Q64439195;;FALSCH;;JuulMona;;WAHR
Kaare Dybvad Bek;Q20175887;http://commons.wikimedia.org/wiki/Special:FilePath/Kaare%20Dybvad%20Bek%20hos%20%C3%85rsskriftet%20Critique.jpg;FALSCH;;KaareDybvad;;WAHR
Karina Adsbøl;Q12321352;http://commons.wikimedia.org/wiki/Special:FilePath/Karina%20Adsb%C3%B8l%20Valgplakat%20%285965219629%29%20%28cropped%29.jpg;FALSCH;;Karinameldgaard;;WAHR
Kasper Roug;Q22956366;;FALSCH;;KasperRoug;;WAHR
Katrine Robsøe;Q64439092;http://commons.wikimedia.org/wiki/Special:FilePath/Katrine%20Rob%C3%B8e.jpg;FALSCH;;KatrineRobsoe;;WAHR
Kim Edberg Andersen;Q115019363;http://commons.wikimedia.org/wiki/Special:FilePath/Kim%20Edberg%20i%20S%C3%A6by.png;FALSCH;;kedbergandersen;;WAHR
Kenneth Fredslund Petersen;Q115011642;;WAHR;https://pbs.twimg.com/profile_images/1421726544368750592/gJQHNuVq_normal.jpg;KennethFredslu1;;WAHR
Karsten Hønge;Q12321445;http://commons.wikimedia.org/wiki/Special:FilePath/Karsten%20H%C3%B8nge%20p%C3%A5%20ChrBorg%20NOV%202018%20Foto%20William%20Vest-Lillesoe%20WEB-15.jpg;FALSCH;;khoenge;;WAHR
Kim Valentin;Q17130794;;FALSCH;;kimvalentinDK;;WAHR
Kirsten Normann Andersen;Q12321969;http://commons.wikimedia.org/wiki/Special:FilePath/Kirsten%20Normann%20Andersen%20KBH%20MARTS%202019%20Foto%20William%20Vest-Lillesoe.jpg;FALSCH;;KirstenNormann;;WAHR
Peter Kofod;Q20186168;;FALSCH;;kofodpeter;;WAHR
Leif Lahn Jensen;Q12324169;http://commons.wikimedia.org/wiki/Special:FilePath/Leif%20Lahn%20Jensen%20%282022%29.jpg;FALSCH;;LahnLeif;;WAHR
Lars-Christian Brask;Q110502287;http://commons.wikimedia.org/wiki/Special:FilePath/Lars-Christian%20Brask%202022.jpg http://commons.wikimedia.org/wiki/Special:FilePath/Lars-Christian%20Brask%202022a.jpg;FALSCH;;LarsChristianB5;;WAHR
Lars Christian Lilleholt;Q6491442;http://commons.wikimedia.org/wiki/Special:FilePath/Lars%20Christian%20Lilleholt%20GGS%202017%20%28cropped%29.jpg;FALSCH;;larsclilleholt;;WAHR
Lars Løkke Rasmussen;Q182397;http://commons.wikimedia.org/wiki/Special:FilePath/Lars%20L%C3%B8kke%20Rasmussen%20-%202018%20%28MUS6631%29%20%28cropped%29.jpg;FALSCH;;larsloekke;;WAHR
Lars Boje Mathiesen;Q64438308;http://commons.wikimedia.org/wiki/Special:FilePath/Lars%20Boje%20Frederikshavn.png;FALSCH;;LBMathiesen;;WAHR
Lea Wermelin;Q20174096;;FALSCH;;leawermelin;;WAHR
Linea Søgaard-Lidell;Q64076366;;FALSCH;;linealidell;;WAHR
Lisbeth Bech-Nielsen;Q12324617;http://commons.wikimedia.org/wiki/Special:FilePath/Lisbeth%20Bech%20Poulsen%20i%20Nordjylland%20OKT%202018%20Foto%20William%20Vest-Lillesoe.jpg;FALSCH;;LisbethBNielsen;;WAHR
Lise Bech;Q20186502;;FALSCH;;LiseBech;;WAHR
Lotte Rod;Q12324922;;FALSCH;;LotteRod;;WAHR
Louise Brown;Q115020546;;WAHR;;louisebrowndk;;WAHR
Louise Schack Elholm;Q12324973;;FALSCH;;LouiseElholm;;WAHR
Mads Fuglede;Q12325612;;FALSCH;;madsfuglede;;WAHR
Mai Villadsen;Q64441614;http://commons.wikimedia.org/wiki/Special:FilePath/Mai%20Villadsen%201.%20maj%202022%20%28cropped%29.jpg;FALSCH;;maivilladsen;;WAHR
Malte Larsen;Q29227882;;FALSCH;;maltelarsen;;WAHR
Marie Bjerre;Q62056697;;FALSCH;;marie_bjerre;;WAHR
Martin Lidegaard;Q1272556;http://commons.wikimedia.org/wiki/Special:FilePath/Martin%20Lidegaard%2C%202014%20%28cropped%29.jpg;FALSCH;;martinlidegaard;;WAHR
Mattias Tesfaye;Q12326451;http://commons.wikimedia.org/wiki/Special:FilePath/Mattias%20Tesfaye%2020120414.jpg;FALSCH;;mattiastesfaye;;WAHR
Mette Abildgaard;Q18171967;http://commons.wikimedia.org/wiki/Special:FilePath/Mette%20Abildgaard.jpg;FALSCH;;metteabildgaard;;WAHR
Mette Gjerskov;Q438598;http://commons.wikimedia.org/wiki/Special:FilePath/Mette%20Gjerskov.jpg;FALSCH;;MetteGjerskov;;WAHR
Mette Reissmann;Q12326843;http://commons.wikimedia.org/wiki/Special:FilePath/Mette%20Reissmann.png;FALSCH;;mettereissmann;;WAHR
Karina Lorentzen Dehnhardt;Q12321354;http://commons.wikimedia.org/wiki/Special:FilePath/Karina%20Lorentzen%20i%20Sydjylland%20DEC%202018%20Foto%20William%20Vest-Lillesoe%20CROP.jpg;FALSCH;;MF_K_Lorentzen;;WAHR
Morten Bødskov;Q375980;http://commons.wikimedia.org/wiki/Special:FilePath/Morten%20B%C3%B8dskov%20220901.jpg;FALSCH;;mfMorten;;WAHR
Thomas Jensen;Q12339222;http://commons.wikimedia.org/wiki/Special:FilePath/Thomas%20Jensen%20-%20Socialdemokraterne.jpg;FALSCH;;MFThomasJensen;;WAHR
Marlene Harpsøe;Q12326188;;FALSCH;;mharpsoe;;WAHR
Michael Aastrup Jensen;Q1926743;http://commons.wikimedia.org/wiki/Special:FilePath/Michael%20Aastrup%20Jensen.jpg;FALSCH;;michaelaastrup;;WAHR
Mikkel Bjørn Sørensen;Q111699048;;FALSCH;;mikkel_bjorn;;WAHR
Mogens Jensen;Q12327462;http://commons.wikimedia.org/wiki/Special:FilePath/Mogens%20Jensen%20%28S%29%20Danmark.jpg;FALSCH;;MogensJensenS;;WAHR
Mohammad Rona;Q115398680;;FALSCH;;mohammad_rona;;WAHR
Thomas Monberg;Q115020554;;FALSCH;;MonbergThomas;;WAHR
Monika Rubin;Q104139464;;FALSCH;;MonikaaRubin;;WAHR
Morten Dahlin;Q12327663;http://commons.wikimedia.org/wiki/Special:FilePath/Morten%20Dahlin%20Venstre.jpg;FALSCH;;MortenDahlin;;WAHR
Morten Messerschmidt;Q1338185;http://commons.wikimedia.org/wiki/Special:FilePath/Messerschmidt.jpg;FALSCH;;MrMesserschmidt;;WAHR
Charlotte Munch;Q115015687;;WAHR;https://pbs.twimg.com/profile_images/1280141539319128064/ZnleT06K_normal.jpg;MunchCharlotte;;WAHR
Nanna W. Gotfredsen;Q58455083;;WAHR;https://pbs.twimg.com/profile_images/1556016538825756674/P0p8_oFy_normal.jpg;NannaWG;Gadejuristen//The Street Lawyers + MF//Moderaterne//Københavns Storkreds;WAHR
Nick Zimmer;Q115020628;;FALSCH;;nick_zimmermann;;WAHR
Niels Flemming Hansen;Q64427892;;FALSCH;;NielsFlemming01;;WAHR
Nicolai Wammen;Q575363;http://commons.wikimedia.org/wiki/Special:FilePath/Nicolai%20Wammen%2C%20pressefoto.jpg;FALSCH;;nwammen;;WAHR
Ole Birk Olesen;Q12330024;http://commons.wikimedia.org/wiki/Special:FilePath/20170615%20Folkemodet%20Birk%20Olesen%20N8B9400x%20%2835162385242%29%20%28cropped%29.jpg;FALSCH;;olebirkolesen;;WAHR
Christina Olumeko;Q115020069;;FALSCH;;OlumekoC;;WAHR
Anne Paulin;Q23894956;;FALSCH;;paulin_anne;;WAHR
Peder Hvelplund;Q29228030;http://commons.wikimedia.org/wiki/Special:FilePath/Peder%20Hvelplund%202000.jpg;FALSCH;;pederhvelplund;;WAHR
Pelle Dragsted;Q20188899;;FALSCH;;pelledragsted;;WAHR
Per Husted;Q12331318;http://commons.wikimedia.org/wiki/Special:FilePath/Per%20Husted.jpg;FALSCH;;Perhusted;;WAHR
Per Larsen;Q12331328;;FALSCH;;PerLarsenC;;WAHR
Pernille Vermund;Q24293722;http://commons.wikimedia.org/wiki/Special:FilePath/202020612%20Altinget%20Pernille%20Vermund%20750A4243%20%28cropped%29.jpg http://commons.wikimedia.org/wiki/Special:FilePath/Pernille%20Vermund%20-%20Ny%20Borgerlige.jpg;FALSCH;;PernilleVermund;;WAHR
Peter Seier Christensen;Q28759772;http://commons.wikimedia.org/wiki/Special:FilePath/Peter%20Seier%20Christensen.jpg;FALSCH;;peter_seier;;WAHR
Peter Juel-Jensen;Q12331601;http://commons.wikimedia.org/wiki/Special:FilePath/Peter%20Juel%20Jensen%20addresses%20the%20Bureau%2C%20Copenhagen%2C%208%20April%202019.jpg;FALSCH;;PeterJuelJensen;;WAHR
Peter Hummelgaard;Q12331581;;FALSCH;;PHummelgaard;;WAHR
Pia Kjærsgaard;Q272924;http://commons.wikimedia.org/wiki/Special:FilePath/Pia%20Kj%C3%A6rsgaard%20%282014%29.JPG;FALSCH;;pia_kjaersgaard;;WAHR
Pia Olsen Dyhr;Q531614;http://commons.wikimedia.org/wiki/Special:FilePath/Pia%20Olsen%20Dyhr%20OKT%202018%20Foto%20William%20Vest-Lillesoe%20CROP.jpg;FALSCH;;PiaOlsen;;WAHR
Matilde Powers;Q115014527;;FALSCH;;power_matilde;;WAHR
Christian Rabjerg Madsen;Q17580253;;FALSCH;;RabjergMadsen;;WAHR
Rasmus Horn Langhoff;Q12332910;;FALSCH;;rasmushorn;;WAHR
Rasmus Jarlov;Q10967294;http://commons.wikimedia.org/wiki/Special:FilePath/20181011%20Minister%20Rasmus%20Jarlov%20til%20Medicon%20Valley%20Alliance%20%C3%85rsm%C3%B8de%202018%20%2843432112060%29%20%28cropped%29.jpg;FALSCH;;RasmusJarlov;;WAHR
Rasmus Prehn;Q12332940;http://commons.wikimedia.org/wiki/Special:FilePath/Rasmus%20Prehn%202012%20Folkem%C3%B8det%20Bornholm%20%28cropped%29.jpg;FALSCH;;RasmusPrehn;;WAHR
Rasmus Lund-Nielsen;Q115015717;;FALSCH;;rlundnielsen;;WAHR
Rosa Eriksen;Q115012248;;WAHR;;rosaeriksen9;;WAHR
Rosa Lund;Q12333741;http://commons.wikimedia.org/wiki/Special:FilePath/Rosa%20Lund%20%28cropped%29.jpg;FALSCH;;RosaLundEl;;WAHR
Pernille Rosenkrantz-Theil;Q6517082;;FALSCH;;RosenkrantzT;;WAHR
Rasmus Stoklund;Q64441603;;FALSCH;;RStoklund;;WAHR
Steffen Larsen;Q29526362;;WAHR;https://pbs.twimg.com/profile_images/1593609978635591680/0Bu9JngQ_normal.jpg;S_B_Larsen;MF Liberal Alliance Siger ofte ordet 'træls' og er ret optaget af borgerlige værdier.;WAHR
Samira Nawa;Q64442134;http://commons.wikimedia.org/wiki/Special:FilePath/Samira%2C%20Borgen%20%284%29.jpg;FALSCH;;SamiraNawa;;WAHR
Kasper Sand Kjær;Q22086020;;FALSCH;;SandKjaer;;WAHR
Sascha Faxe;Q115013979;;FALSCH;;saschafaxe;;WAHR
Signe Munk;Q57409691;http://commons.wikimedia.org/wiki/Special:FilePath/Signe%20Munk%20i%20Viborg%20AUG%202018%20Foto%20William%20Vest-Lillesoe.jpg;FALSCH;;signe_munk;;WAHR
Sigurd Agersnap;Q112960298;http://commons.wikimedia.org/wiki/Special:FilePath/Sigurd%20Agersnap%202022.jpg;FALSCH;;SigurdAgersnap;;WAHR
Simon Kollerup;Q12335355;http://commons.wikimedia.org/wiki/Special:FilePath/Simon%20Kollerup%20Klimatopm%C3%B8de%20Lifescience%20Christiansborg%20290120%20%2849464411496%29%20%28cropped%29.jpg;FALSCH;;simonkollerup;;WAHR
Sjúrður Skaale;Q845278;http://commons.wikimedia.org/wiki/Special:FilePath/Sjurdur%20Skaale%2C%20Island%2C%20Nordiska%20radets%20session%202011%20%28cropped%29.jpg;FALSCH;;SjurSkaale;;WAHR
Peter Skaarup;Q12331726;http://commons.wikimedia.org/wiki/Special:FilePath/DF-Skaarup.jpg;FALSCH;;skaarup_peter;;WAHR
Kris Jensen Skriver;Q115011510;;FALSCH;;skriver_kris;;WAHR
Henrik Dahl;Q12316339;http://commons.wikimedia.org/wiki/Special:FilePath/Henrik%20Dahl.jpg;FALSCH;;SociologenHD;;WAHR
Søren Gade;Q1476255;http://commons.wikimedia.org/wiki/Special:FilePath/S%C3%B8ren%20Gade%20i%20Reykjavik%202010%20%28cropped%29.jpg;FALSCH;;SoerenGade;;WAHR
Sofie Carsten Nielsen;Q12336294;http://commons.wikimedia.org/wiki/Special:FilePath/Sofie%20Carsten%20Nielsen%2C%20EU%20event%20med%20Europabev%C3%A6gelsen%2C%202011-09-08%20%28cropped%29.jpg;FALSCH;;sofiecn;;WAHR
Sofie Lippert;Q102044122;;FALSCH;;sofielippert;;WAHR
Sólbjørg Jakobsen;Q115018501;;WAHR;https://pbs.twimg.com/profile_images/1548642454802399233/hcawmuzt_normal.jpg;solbjorgLA;MF - LA Nordjylland. Beskæftigelsesordfører. Ligestillingsordfører. Færøordfører.  Mor. Kæreste. Jurist… og en masse andet. Elsker en sober debat??;WAHR
Sophie Løhde;Q12336452;http://commons.wikimedia.org/wiki/Special:FilePath/Sophie%20L%C3%B8hde.jpg;FALSCH;;sophieloehde;;WAHR
Søren Egge Rasmussen;Q20179766;;FALSCH;;soreneggerasmus;;WAHR
Søren Pape Poulsen;Q12004862;http://commons.wikimedia.org/wiki/Special:FilePath/EPP%20Zagreb%20Congress%20in%20Croatia%2C%2020-21%20November%202019%20%2849099068013%29%20%28cropped%29.jpg;FALSCH;;sorenpape;;WAHR
Søren Søndergaard;Q747728;http://commons.wikimedia.org/wiki/Special:FilePath/Sorensondergaard.jpg;FALSCH;;SrenSndergaard3;;WAHR
Mette Frederiksen;Q5015;http://commons.wikimedia.org/wiki/Special:FilePath/Mette%20Frederiksen%20K%C3%B6%C3%B6penhaminassa%204.5.2022%20%2852049397038%29%20%28cropped%29.jpg;WAHR;;statsmin;;WAHR?
Steffen Frølund;Q115014541;;FALSCH;;SteffenFrolund;;WAHR
Steffen W. Frølund;Q115014541;;FALSCH;;SteffenFrolund;;WAHR
Susie Jessen;Q115013941;;FALSCH;;SusieJessen;;WAHR
Thomas Skriver Jensen;Q115012177;;WAHR;https://pbs.twimg.com/profile_images/1457960087734132741/qYbZwTx0_normal.jpg;T_SkriverJensen;MF, Socialdemokratiet. ??Erhvervsuddannelsesordfører. Faglært Industritekniker.  Thomas.skriver@ft.dk ??61624902;WAHR
Thomas Danielsen;Q12343109;http://commons.wikimedia.org/wiki/Special:FilePath/Thomas%20Danielsen%20%28V%29.JPG;FALSCH;;thdanielsen;;WAHR
Mette Thiesen;Q48922678;http://commons.wikimedia.org/wiki/Special:FilePath/Mette%20Thiesen%202020.png;FALSCH;;ThiesenMette;;WAHR
Tobias Grotkjær Elmstrøm;Q115020590;;WAHR;https://pbs.twimg.com/profile_images/1526852863472848896/Ff1Vvvb7_normal.jpg;TobiasGrotkjaer;Folketingsmedlem for Moderaterne - valgt i Østjylland. Advokat med fokus på mennesket, faglighed og sund fornuft.;WAHR
Torsten Gejl;Q20197707;http://commons.wikimedia.org/wiki/Special:FilePath/Torsten%20Gejl.png;FALSCH;;TorstenGejl;;WAHR
Torsten Schack Pedersen;Q7827256;;FALSCH;;Torstenschack;;WAHR
Trine Bramsen;Q12339763;http://commons.wikimedia.org/wiki/Special:FilePath/Trine%20Bramsen%20%28cropped%29.jpg;FALSCH;;Trinebramsen;;WAHR
Trine Mach;Q12339772;;FALSCH;;trinemach;;WAHR
Troels Lund Poulsen;Q3080572;http://commons.wikimedia.org/wiki/Special:FilePath/Troels%20Lund%20Poulsen%20Skamlingsbanken.jpg;FALSCH;;troelslundp;;WAHR
Theresa Scavenius;Q55334143;http://commons.wikimedia.org/wiki/Special:FilePath/Theresa%20Birgitta%20Br%C3%B8nnum%20Scavenius.jpg;FALSCH;;TScavenius;;WAHR
Victoria Velásquez;Q64417468;;FALSCH;;VictoriaV_EL;;WAHR
Mike Villa Fonseca;Q115013935;;FALSCH;;villafonseca;;WAHR
Sandra Elisabeth Skalvig;Q115013955;;WAHR;https://pbs.twimg.com/profile_images/1605685799659474945/ij960ldY_normal.jpg;xSkalvig;Medlem af Folketinget for Liberal Alliance, Sjællands Storkreds;WAHR
Zenia Stampe;Q12341748;http://commons.wikimedia.org/wiki/Special:FilePath/Stampe2007%20%28cropped%29.JPG;FALSCH;;zeniastampe;;WAHR
